run_id,agent_id,update,distraction_sigs,fitness,fun_cnt,fun_used,inst_entropy,sim_thresh
271,234,100000,0,46.0,3,3.0,1.58532,0.403298
271,18,100000,0,256.0,32,18.0,4.97228,0.0402596
271,315,100000,0,256.0,30,18.0,5.19935,0.482989
271,422,100000,0,256.0,32,27.33,5.39291,0.646458
271,543,100000,0,256.0,32,22.38,5.25946,0.808598
271,319,100000,0,256.0,32,21.85,5.19025,0.486545
271,483,100000,0,256.0,32,20.83,5.2456,0.754436
271,460,100000,0,256.0,32,26.97,5.3595,0.675254
271,638,100000,0,20.04,32,8.16,5.29149,0.960787
271,604,100000,0,51.9,31,10.14,4.82504,0.936688
271,335,100000,0,48.76,5,4.98,1.79266,0.5272
271,463,100000,0,20.85,4,1.0,3.03895,0.743119
271,504,100000,0,143.15,31,9.0,5.22236,0.794387
271,30,100000,0,247.96,32,29.35,5.11987,0.0341096
271,195,100000,0,256.0,32,30.93,4.96594,0.300298
271,373,100000,0,174.84,31,12.22,5.3598,0.588488
271,407,100000,0,151.22,32,11.31,5.13092,0.630492
271,459,100000,0,256.0,32,26.18,5.39592,0.675254
271,496,100000,0,15.85,28,1.0,5.4257,0.769472
271,515,100000,0,256.0,32,20.18,5.12959,0.796625
271,193,100000,0,256.0,32,29.29,4.99676,0.300298
271,449,100000,0,256.0,32,20.59,5.34961,0.672419
271,140,100000,0,89.93,24,7.59,4.73427,0.244359
271,594,100000,0,0.0,32,0.0,4.88627,0.950523
271,31,100000,0,250.84,32,29.69,5.11987,0.0341096
271,142,100000,0,132.49,30,12.75,4.67153,0.225625
271,69,100000,0,28.17,5,3.0,4.06188,0.142452
271,479,100000,0,256.0,31,16.71,5.34773,0.754383
271,175,100000,0,147.42,30,12.57,4.70112,0.255374
271,406,100000,0,154.49,32,10.0,5.1338,0.630492
271,516,100000,0,256.0,32,19.91,5.13622,0.796625
271,144,100000,0,142.04,30,11.72,4.67153,0.225625
271,153,100000,0,256.0,32,20.29,5.36105,0.223684
271,415,100000,0,256.0,32,19.24,5.27671,0.608821
271,204,100000,0,65.14,26,5.83,4.77878,0.329798
271,29,100000,0,256.0,32,28.92,4.98578,0.021118
271,523,100000,0,256.0,32,25.66,5.2677,0.804713
271,396,100000,0,0.0,1,0.0,2.25198,0.641249
271,89,100000,0,256.0,32,23.0,5.1492,0.120648
271,570,100000,0,113.81,31,9.56,5.07602,0.869298
271,162,100000,0,256.0,32,29.45,5.13009,0.215903
271,640,100000,0,23.0,32,8.3,5.28195,0.960787
271,171,100000,0,62.58,25,6.62,4.59457,0.252522
271,550,100000,0,256.0,32,21.36,5.33381,0.808598
271,416,100000,0,256.0,32,19.81,5.28301,0.621755
271,436,100000,0,102.59,30,7.82,5.16899,0.687706
271,596,100000,0,14.23,32,2.0,4.90026,0.946936
271,62,100000,0,256.0,32,29.31,5.03296,0.0618321
271,254,100000,0,256.0,32,22.56,5.31833,0.356527
271,368,100000,0,46.46,6,5.8,2.19751,0.564482
271,513,100000,0,256.0,31,17.15,5.33097,0.772009
271,512,100000,0,256.0,31,17.08,5.33097,0.772009
271,585,100000,0,130.68,32,22.05,4.93258,0.862068
271,283,100000,0,256.0,32,19.0,5.06605,0.443519
271,345,100000,0,256.0,30,19.0,5.20487,0.549173
271,11,100000,0,104.32,32,10.65,4.60808,0.0484289
271,285,100000,0,256.0,31,22.44,5.18778,0.411865
271,597,100000,0,34.31,30,3.0,5.20582,0.926997
271,317,100000,0,256.0,32,21.94,5.19025,0.486545
271,529,100000,0,16.64,31,1.0,5.01107,0.841931
271,19,100000,0,256.0,32,18.41,5.32169,0.0401806
271,74,100000,0,103.62,31,7.57,4.77934,0.136158
271,221,100000,0,256.0,32,23.04,4.96594,0.325458
271,533,100000,0,79.79,32,5.0,5.30709,0.814655
271,276,100000,0,235.64,32,17.97,5.32658,0.435043
